datetime,day,slot,n_roads,mean_dev,median_dev,std_dev,p05,p10,p25,p75,p90,p95,pct_faster,pct_better_005,pct_worse_005,pct_better_003,pct_worse_003,pct_better_010,pct_worse_010,iqr
2025-09-24 01:00:00,2025-09-24,2,2983,0.002738947288603675,0.0,0.0543798617086923,0.0,0.0,0.0,0.0,0.0,0.04999999999999998,0.08716057660073752,0.04927924907810929,0.026148172980221252,0.06604089842440496,0.030841434797184042,0.029165269862554476,0.016761649346295676,0.0
2025-09-24 01:30:00,2025-09-24,3,2952,0.004240551872284596,0.0,0.056110763590239664,0.0,0.0,0.0,0.0,0.0,0.04921428571428549,0.08130081300813008,0.05013550135501355,0.019308943089430895,0.06266937669376693,0.028116531165311653,0.0260840108401084,0.012533875338753388,0.0
2025-09-24 02:00:00,2025-09-24,4,2865,0.003451809606914319,0.0,0.04425339199045631,0.0,0.0,0.0,0.0,0.0,0.026249999999999996,0.06352530541012216,0.035951134380453754,0.01780104712041885,0.046771378708551484,0.02443280977312391,0.02024432809773124,0.011169284467713788,0.0
2025-09-24 02:30:00,2025-09-24,5,2895,0.00248894600250386,0.0,0.04627921944474132,0.0,0.0,0.0,0.0,0.0,0.024611111111110844,0.06735751295336788,0.0383419689119171,0.02141623488773748,0.048013816925734025,0.027633851468048358,0.02141623488773748,0.015889464594127805,0.0
2025-09-24 03:00:00,2025-09-24,6,2837,0.0032993949939667247,0.0,0.04439629463060283,0.0,0.0,0.0,0.0,0.0,0.03204444444444441,0.06415227352837505,0.03806838209376102,0.01691928093056045,0.05111032781106803,0.01903419104688051,0.022206556221360592,0.011279520620373634,0.0
2025-09-24 03:30:00,2025-09-24,7,2773,0.0016191389666416708,0.0,0.038555269777408294,0.0,0.0,0.0,0.0,0.0,0.0,0.04868373602596466,0.029570861882437793,0.016588532275513886,0.03642264695275874,0.02163721601153985,0.017670393076090876,0.010457987738910927,0.0
2025-09-24 04:00:00,2025-09-24,8,2758,0.0013152560516592419,0.0,0.042043757219734024,0.0,0.0,0.0,0.0,0.0,0.0,0.04133430021754895,0.025380710659898477,0.015228426395939087,0.032269760696156634,0.01704133430021755,0.016678752719361856,0.010514865844815084,0.0
2025-09-24 04:30:00,2025-09-24,9,2749,0.001875038975211766,0.0,0.04371020240525052,0.0,0.0,0.0,0.0,0.0,0.0,0.04983630411058567,0.029829028737722807,0.014186977082575483,0.03783193888686795,0.01746089487086213,0.016369588941433248,0.011276827937431793,0.0
2025-09-24 05:00:00,2025-09-24,10,2732,0.0016155463466499343,0.0,0.034374256817302024,0.0,0.0,0.0,0.0,0.0,0.0,0.045021961932650074,0.02452415812591508,0.012079062957540264,0.028184480234260616,0.014275256222547585,0.012079062957540264,0.008052708638360176,0.0
2025-09-24 05:30:00,2025-09-24,11,2720,0.0018541221697012142,0.0,0.04693770083658129,0.0,0.0,0.0,0.0,0.0,0.01666666666666672,0.05698529411764706,0.033455882352941176,0.015441176470588236,0.041176470588235294,0.01911764705882353,0.01801470588235294,0.01213235294117647,0.0
2025-09-24 06:00:00,2025-09-24,12,2833,0.003473010480224564,0.0,0.05355149727787674,0.0,0.0,0.0,0.0,0.0,0.05050000000000015,0.08753971055418285,0.05153547476173667,0.023296858453935757,0.06636074832333215,0.03141546064242852,0.02435580656547829,0.013766325450052947,0.0
2025-09-24 06:30:00,2025-09-24,13,3272,0.008865661201827921,0.0,0.07477924670867751,-0.058625000000000003,0.0,0.0,0.0,0.0675,0.12000000000000005,0.18184596577017115,0.12011002444987776,0.05409535452322738,0.1512836185819071,0.0715158924205379,0.06204156479217604,0.029951100244498777,0.0
2025-09-24 07:00:00,2025-09-24,14,3832,0.019538778498525363,0.0,0.10513115163802472,-0.10543749999999993,-0.030000000000000027,0.0,0.030000000000000027,0.13397500000000004,0.18999999999999995,0.30088726513569936,0.2197286012526096,0.07985386221294363,0.2536534446764092,0.10099164926931106,0.13987473903966596,0.050626304801670144,0.030000000000000027
2025-09-24 07:30:00,2025-09-24,15,4570,0.046242171164600054,0.0,0.14206942039849146,-0.14561666666666664,-0.06516666666666665,0.0,0.09125000000000003,0.2234285714285718,0.32000000000000006,0.4275711159737418,0.33150984682713347,0.11291028446389496,0.37811816192560177,0.12778993435448577,0.23391684901531729,0.07264770240700219,0.09125000000000003
2025-09-24 08:00:00,2025-09-24,16,5026,0.04578880772364656,0.0,0.1473804503475786,-0.14378125000000003,-0.07619047619047625,0.0,0.09599999999999997,0.223452380952381,0.33000000000000007,0.43931555909271786,0.3410266613609232,0.1235575009948269,0.38658973338639074,0.14882610425785914,0.24074810982888978,0.07699960206923995,0.09599999999999997
2025-09-24 08:30:00,2025-09-24,17,4944,0.042725260416666674,0.0,0.14060197994828344,-0.15333333333333332,-0.07190000000000003,0.0,0.08861607142857147,0.21750000000000003,0.30500000000000005,0.42516181229773464,0.32119741100323623,0.12014563106796117,0.3630663430420712,0.14826051779935276,0.22795307443365695,0.07807443365695793,0.08861607142857147
2025-09-24 09:00:00,2025-09-24,18,4879,0.03595968236307299,0.0,0.1426264423544857,-0.17000000000000004,-0.07442857142857133,0.0,0.08171428571428574,0.1957714285714286,0.28857142857142853,0.40930518548882966,0.31379381020700964,0.12605042016806722,0.35396597663455626,0.1565894650543144,0.21766755482680877,0.0823939331830293,0.08171428571428574
2025-09-24 09:30:00,2025-09-24,19,4554,0.035696532483217275,0.0,0.12211420295812342,-0.11999999999999988,-0.05571428571428572,0.0,0.07000000000000006,0.17591428571428572,0.2633333333333333,0.4018445322793149,0.29424681598594643,0.10737812911725955,0.3425559947299078,0.13526570048309178,0.1960913482652613,0.0590689503732982,0.07000000000000006
2025-09-24 10:00:00,2025-09-24,20,4469,0.02919984585166953,0.0,0.11706305543315085,-0.12162499999999997,-0.053333333333333344,0.0,0.06000000000000005,0.15625,0.2343333333333324,0.3779368986350414,0.2745580666815842,0.10449765048109197,0.3224434996643544,0.12620272991720743,0.17386439919445065,0.06265383754754979,0.06000000000000005
2025-09-24 10:30:00,2025-09-24,21,4509,0.03128015133753657,0.0,0.12110609528456606,-0.11559999999999998,-0.050000000000000044,0.0,0.06624999999999992,0.16516666666666693,0.24442857142857063,0.3854513195830561,0.2829895764027501,0.10113107119095142,0.33089376801951653,0.12441783100465735,0.18496340652029275,0.06054557551563539,0.06624999999999992
2025-09-24 11:00:00,2025-09-24,22,4610,0.03425763752596725,0.0,0.11482168087020234,-0.10499999999999998,-0.04666666666666665,0.0,0.06999999999999995,0.17007142857142896,0.2450000000000001,0.3978308026030369,0.2904555314533623,0.09696312364425162,0.3351409978308026,0.12321041214750543,0.18806941431670282,0.05271149674620391,0.06999999999999995
2025-09-24 11:30:00,2025-09-24,23,4605,0.03232175365803216,0.0,0.11090362626984433,-0.10000000000000009,-0.047657142857142835,0.0,0.06666666666666665,0.16417142857142872,0.23971428571428596,0.3969598262757872,0.28838219326818676,0.09815418023887079,0.33659066232356133,0.12138979370249729,0.18306188925081432,0.0503800217155266,0.06666666666666665
2025-09-24 12:00:00,2025-09-24,24,4561,0.03616967193099072,0.0,0.11373184396017941,-0.10999999999999999,-0.040000000000000036,0.0,0.07333333333333325,0.17333333333333334,0.2549999999999999,0.3975005481254111,0.29752247314185487,0.09076956807717605,0.33961850471387856,0.11291383468537601,0.19579039684279764,0.05415479061609296,0.07333333333333325
2025-09-24 12:30:00,2025-09-24,25,4426,0.032185100309140076,0.0,0.11207810275344572,-0.10250000000000012,-0.050000000000000044,0.0,0.06412500000000002,0.17000000000000004,0.24,0.3691821057388161,0.28174423859014913,0.1009941256213285,0.32037957523723454,0.12336195210122006,0.1859466787166742,0.052643470402169004,0.06412500000000002
2025-09-24 13:00:00,2025-09-24,26,4369,0.03317844131816151,0.0,0.11786199882470855,-0.12,-0.043466666666666647,0.0,0.06666666666666665,0.17676190476190493,0.2527142857142855,0.37972075989929044,0.2806134126802472,0.09498741130693522,0.3229571984435798,0.11787594415197986,0.19180590524147403,0.05676356145571069,0.06666666666666665
2025-09-24 13:30:00,2025-09-24,27,4393,0.03262705097214544,0.0,0.11992469436103523,-0.1266666666666667,-0.057499999999999996,0.0,0.07000000000000006,0.16999999999999998,0.2476190476190472,0.3869792852264967,0.2881857500569087,0.10562258137946734,0.33166401092647396,0.12884133849305712,0.19644889597086274,0.06601411336216709,0.07000000000000006
2025-09-24 14:00:00,2025-09-24,28,4430,0.027939442249811892,0.0,0.1248120396618901,-0.1558714285714286,-0.07145238095238082,0.0,0.07000000000000006,0.17076785714285708,0.2371250000000001,0.3801354401805869,0.2893905191873589,0.12279909706546276,0.3295711060948081,0.14492099322799096,0.19661399548532732,0.07787810383747178,0.07000000000000006
2025-09-24 14:30:00,2025-09-24,29,4568,0.025493427579365076,0.0,0.13301784889403412,-0.18391249999999998,-0.09834999999999992,0.0,0.06861607142857137,0.18000000000000002,0.26564999999999966,0.3710595446584939,0.28590192644483364,0.14185639229422067,0.32027145359019266,0.16790718038528896,0.19395796847635727,0.09610332749562171,0.06861607142857137
2025-09-24 15:00:00,2025-09-24,30,4543,0.032857554051409985,0.0,0.1370137176142073,-0.17999999999999994,-0.08,0.0,0.08267857142857143,0.1925,0.28,0.40171692714065593,0.3086066475896984,0.12568787145058333,0.3524103015628439,0.14747963900506272,0.21967862645828748,0.08628659476117104,0.08267857142857143
2025-09-24 15:30:00,2025-09-24,31,4664,0.032474833904521404,0.0,0.14091123134209632,-0.17974999999999997,-0.0838,0.0,0.08000000000000007,0.2007314814814813,0.2797857142857134,0.40287307032590053,0.30424528301886794,0.13036020583190394,0.34369639794168094,0.15051457975986277,0.21976843910806174,0.08940823327615781,0.08000000000000007
2025-09-24 16:00:00,2025-09-24,32,4519,0.03860241290155265,0.0,0.13518724428689133,-0.16000000000000003,-0.0615714285714286,0.0,0.08999999999999997,0.20000000000000007,0.28509999999999946,0.40871874308475326,0.3193184332816995,0.11329940252268202,0.3591502544810799,0.13387917680902855,0.23102456295640628,0.07280371763664528,0.08999999999999997
2025-09-24 16:30:00,2025-09-24,33,4605,0.03694763419965646,0.0,0.13674145543939184,-0.17333333333333337,-0.08577777777777766,0.0,0.08571428571428563,0.20314285714285737,0.2980000000000005,0.41172638436482084,0.3226927252985885,0.12747014115092292,0.36308360477741586,0.14527687296416938,0.2262757871878393,0.09011943539630836,0.08571428571428563
2025-09-24 17:00:00,2025-09-24,34,4508,0.03272141046722347,0.0,0.1358249987564688,-0.1760833333333333,-0.07999999999999996,0.0,0.08297619047619054,0.19607500000000005,0.2658124999999996,0.39951197870452526,0.3112244897959184,0.12355811889973381,0.3533717834960071,0.14307897071872228,0.22071872227151731,0.08451641526175688,0.08297619047619054
2025-09-24 17:30:00,2025-09-24,35,4610,0.04067713110732363,0.0,0.1367491394847587,-0.1467410714285714,-0.06000000000000005,0.0,0.08999999999999997,0.2027857142857143,0.29400000000000004,0.41626898047722344,0.323644251626898,0.11236442516268981,0.36399132321041217,0.13731019522776572,0.23101952277657267,0.0735357917570499,0.08999999999999997
2025-09-24 18:00:00,2025-09-24,36,4967,0.038317050735915244,0.0,0.14986586230389148,-0.20709999999999995,-0.10999999999999999,0.0,0.09732142857142856,0.22250000000000003,0.3107777777777776,0.43406482786390177,0.3388363197100866,0.1507952486410308,0.3845379504731226,0.17555868733642038,0.24260116770686532,0.10610026172740085,0.09732142857142856
2025-09-24 18:30:00,2025-09-24,37,4789,0.045178457010167705,0.0,0.14482981953034943,-0.15999999999999992,-0.07250000000000001,0.0,0.10285714285714287,0.22499999999999998,0.31133333333333213,0.4380872833576947,0.34662768845270414,0.1263311756107747,0.3829609521820839,0.1555648360826895,0.25370641052411774,0.07851325955314262,0.10285714285714287
2025-09-24 19:00:00,2025-09-24,38,4540,0.03169022067221406,0.0,0.13483880150319633,-0.1628571428571428,-0.07499999999999996,0.0,0.07625000000000007,0.18783333333333332,0.27,0.3933920704845815,0.2997797356828194,0.12356828193832599,0.33964757709251103,0.14757709251101322,0.20704845814977973,0.07951541850220264,0.07625000000000007
2025-09-24 19:30:00,2025-09-24,39,4283,0.022857552144135727,0.0,0.11563929444236164,-0.14985714285714274,-0.06333333333333335,0.0,0.050000000000000044,0.1586666666666667,0.2230982142857142,0.3420499649778193,0.2512257763250058,0.11393882792435209,0.2930189119775858,0.13425169273873452,0.16857342983889798,0.07588139154798039,0.050000000000000044
2025-09-24 20:00:00,2025-09-24,40,4210,0.013387367724867724,0.0,0.10817486559443026,-0.15000000000000002,-0.07428571428571418,0.0,0.030000000000000027,0.1322499999999999,0.19570833333333326,0.30593824228028504,0.21282660332541567,0.1187648456057007,0.2524940617577197,0.13990498812351543,0.13182897862232779,0.08004750593824228,0.030000000000000027
2025-09-24 20:30:00,2025-09-24,41,4105,0.010727976834934814,0.0,0.09995169680393692,-0.1375,-0.06373333333333328,0.0,0.015000000000000013,0.1133333333333334,0.1725,0.27673568818514005,0.19123020706455543,0.11546894031668696,0.2243605359317905,0.14007308160779536,0.11473812423873325,0.07113276492082826,0.015000000000000013
