road_id,group,n_slots,mean_dev,F_rate,S_rate,ctrl_dev,ctrl_F,ctrl_S,intersection_degree,road_length_m,work_density,education_density,retail_density,food_drink_density,recreation_density,medical_density,transport_density,tourism_density,finance_density,civic_density,population_density_500m,median_income_500m,ratio_学生_500m,ratio_雇员_500m,ratio_退休人士_500m,ratio_age_65plus_500m,ctrl_S,ctrl_F,n_slots,mean_dev
122,Typhoon-Fast,19,0.08729281537176273,0.6842105263157895,0.15789473684210525,0.005890806878306862,0.4,0.26666666666666666,25.0,370.00216900028437,4.339290743524516,0.0,0.0,1.7357162974098062,0.0,0.0,55.5429215171138,1.7357162974098062,0.0,0.8678581487049031,,,,,,,0.26666666666666666,0.4,19,0.08729281537176273
128,Typhoon-Fast,60,0.07017592592592593,0.7166666666666667,0.06666666666666667,0.003862433862433866,0.5333333333333333,0.26666666666666666,8.0,488.667133017412,1.6806450086687068,0.0,0.0,0.0,0.0,0.0,40.33548020804896,1.6806450086687068,0.0,0.8403225043343534,,,,,,,0.26666666666666666,0.5333333333333333,60,0.07017592592592593
136,Typhoon-Fast,60,0.07423148148148148,0.5166666666666667,0.016666666666666666,-0.058321759259259254,0.16666666666666666,0.2916666666666667,2.0,86.27370002790866,4.619973780721627,0.0,0.0,2.3099868903608134,0.0,0.0,125.89428552466434,0.0,0.0,0.0,,,,,,,0.2916666666666667,0.16666666666666666,60,0.07423148148148148
141,Other,57,0.0005043859649122817,0.0,0.0,0.0005989583333333345,0.0,0.0,8.5,1012.7065135668348,4.504557829005427,0.5630697286256784,0.0,0.0,1.1261394572513568,0.0,19.70744050189874,0.0,0.0,0.0,,,,,,,0.0,0.0,57,0.0005043859649122817
145,Other,10,0.03808333333333331,0.7,0.2,0.03291666666666666,0.3,0.2,25.5,226.02558547572465,11.987235405633875,5.9936177028169375,13.985107973239522,29.968088514084688,22.975534527464927,5.9936177028169375,120.87129034014158,2.9968088514084688,2.9968088514084688,3.995745135211292,13969.124992698677,44612.78604118993,0.13122139588100687,0.500429061784897,0.1735554919908467,0.167691647597254,0.2,0.3,10,0.03808333333333331
146,Typhoon-Fast,38,0.037712301587301586,0.6052631578947368,0.07894736842105263,-0.00635269841269841,0.28,0.28,9.5,11.494881684038496,8.798037235791272,7.541174773535376,10.054899698047167,22.623524320606126,31.4215615563974,6.28431231127948,133.22742099912497,3.770587386767688,3.770587386767688,6.28431231127948,21635.630425272993,36165.61752062275,0.12228418728941559,0.5012780295108632,0.19745555942837226,0.19431857790170792,0.28,0.28,38,0.037712301587301586
147,Typhoon-Fast,19,0.08260526315789474,0.6842105263157895,0.10526315789473684,-0.007518518518518498,0.3333333333333333,0.5,30.5,169.52962733141317,13.644273113236201,9.446035232240447,13.644273113236201,31.486784107468157,30.437224637219217,6.297356821493631,126.99669590012157,3.1486784107468155,3.1486784107468155,5.247797351244692,21864.42288422589,39487.046850998464,0.12543202764976957,0.4965437788018433,0.19071620583717358,0.18620391705069125,0.5,0.3333333333333333,19,0.08260526315789474
148,Other,13,0.09719230769230773,0.6923076923076923,0.23076923076923078,0.015902777777777793,0.4166666666666667,0.3333333333333333,20.0,231.4540945819899,12.838524375241708,8.888209182859644,13.826103173337223,29.62736394286548,28.639785144769963,5.925472788573096,131.3479801467036,2.962736394286548,2.962736394286548,4.93789399047758,20573.24152192579,39487.046850998464,0.12543202764976957,0.4965437788018433,0.19071620583717358,0.18620391705069125,0.3333333333333333,0.4166666666666667,13,0.09719230769230773
149,Typhoon-Fast,9,0.04296164021164022,0.5555555555555556,0.1111111111111111,0.01517857142857145,0.4583333333333333,0.16666666666666666,35.5,196.44692840061697,7.13934113156536,1.0199058759379085,8.159247007503268,20.398117518758173,18.358305766882356,4.079623503751634,110.14983460129413,3.059717627813726,3.059717627813726,3.059717627813726,10572.34430997236,40886.16438356164,0.12801466332240016,0.5096469226316805,0.17875747636503955,0.17470576885973374,0.16666666666666666,0.4583333333333333,9,0.04296164021164022
158,Other,41,0.09541608594657375,0.6341463414634146,0.2926829268292683,-0.003786155202821867,0.37037037037037035,0.4444444444444444,4.0,44.87259703377446,1.2066611427724163,4.826644571089665,2.4133222855448326,10.859950284951747,14.479933713268997,7.239966856634498,36.19983428317249,0.0,1.2066611427724163,3.619983428317249,14603.013149831782,27643.766319616592,0.125599074533135,0.49016691455957695,0.2003801024624029,0.20451165096678234,0.4444444444444444,0.37037037037037035,41,0.09541608594657375
159,Typhoon-Fast,38,0.03740570175438596,0.6052631578947368,0.07894736842105263,-0.008567791005291007,0.25,0.2916666666666667,11.5,211.1624449485975,8.039553827064427,6.02966537029832,8.039553827064427,21.10382879604412,25.123605709576335,5.024721141915267,106.52408820860366,3.01483268514916,3.01483268514916,7.0346095986813735,17299.10994738588,36165.61752062275,0.12228418728941559,0.5012780295108632,0.19745555942837226,0.19431857790170792,0.2916666666666667,0.25,38,0.03740570175438596
160,Typhoon-Fast,19,0.08388408521303257,0.6842105263157895,0.10526315789473684,-0.018449248120300746,0.3157894736842105,0.47368421052631576,27.0,373.7875253790743,12.100832400552356,7.779106543212229,11.23648722908433,28.52339065844484,25.066009972572736,5.186071028808152,104.58576574763107,2.593035514404076,2.593035514404076,6.050416200276178,18006.038612021905,39487.046850998464,0.12543202764976957,0.4965437788018433,0.19071620583717358,0.18620391705069125,0.47368421052631576,0.3157894736842105,19,0.08388408521303257
161,Other,12,0.07279166666666671,0.6666666666666666,0.25,0.024166666666666673,0.46153846153846156,0.3076923076923077,23.0,139.01205203043125,14.12225218303699,9.77694381902561,15.208579274039835,32.58981273008536,31.503485639082516,6.517962546017072,144.48150310337843,3.258981273008536,3.258981273008536,5.431635455014227,22630.365959771276,39487.046850998464,0.12543202764976957,0.4965437788018433,0.19071620583717358,0.18620391705069125,0.3076923076923077,0.46153846153846156,12,0.07279166666666671
164,Typhoon-Slow,41,-0.10334804490902053,0.21951219512195122,0.5609756097560976,-3.453850676072968e-05,0.4074074074074074,0.48148148148148145,2.0,50.36845195506315,2.3982070993227844,4.796414198645569,2.3982070993227844,7.194621297968353,14.389242595936706,4.796414198645569,45.565934887132904,0.0,1.1991035496613922,2.3982070993227844,14511.551158002168,27643.766319616592,0.125599074533135,0.49016691455957695,0.2003801024624029,0.20451165096678234,0.48148148148148145,0.4074074074074074,41,-0.10334804490902053
174,Other,60,0.0,0.0,0.0,0.0,0.0,0.0,6.0,859.5830917027796,0.0,6.085284125198958,0.0,0.0,10.14214020866493,0.0,41.92084619581504,0.0,0.0,1.3522853611553238,23852.28534273818,24410.784647220567,0.0913059500524421,0.45763528644726026,0.2160614564730561,0.2274569833035689,0.0,0.0,60,0.0
