estate,total_pop,working_pop,median_income,ratio_age_65plus,ratio_age_0_14,n_roads,tot_length_km,bl_acc,typh_acc,dev_acc,n_worse_10,n_better_10,d_fire_m,t_fire_bl,t_fire_typh,d_t_fire,d_hosp_m,t_hosp_bl,t_hosp_typh,d_t_hosp,d_pol_m,lat,lon
天盛苑,18900.0,9967.0,32810.0,0.17507936507936508,0.07634920634920635,106.0,102.682536361187,0.9659674612758653,0.9768736407411035,0.010906179465238253,0.0,9.0,214.93343440782664,0.26700704902495054,0.26402608334658445,-0.0029809656783660876,1267.7968661697882,1.5749559901265353,1.5573725975957051,-0.01758339253083019,175.39688243468288,22.4483533,114.0016239
天赋海湾,3574.0,1829.0,80140.0,0.05903749300503637,0.1983771684387241,46.0,83.01088043693542,0.9977837370085004,0.9976683278417676,-0.00011540916673275066,0.0,1.0,3273.7853845646255,3.9372684839060295,3.9377239427616932,0.00045545885566378175,2480.4642902684923,2.9831686345643784,2.983513724206628,0.00034508964224944094,2901.155171069909,22.4341796,114.2020972
天逸邨,11665.0,5776.0,28540.0,0.10544363480497214,0.06292327475353622,56.0,53.68088568354235,0.9816809291344071,0.986091167234782,0.004410238100374922,0.0,5.0,565.5960356435866,0.6913806947138701,0.6882885328702129,-0.0030921618436572373,1057.273306510758,1.2924036009659525,1.2866233974802797,-0.0057802034856728746,1878.0571821936783,22.4669068,114.0002586
天钻,2888.0,1791.0,64370.0,0.04986149584487535,0.14646814404432132,71.0,69.35319947956293,0.9704809732529905,0.9773790578528829,0.006898084599892507,1.0,15.0,1618.9519323838576,2.0018345257699184,1.987706103636461,-0.014128422133457441,2520.4049657763753,3.1164814584605054,3.09448615113145,-0.021995307329055525,1780.599598596488,22.4368468,114.1668955
天颂苑,17214.0,9160.0,31250.0,0.12350412454978506,0.12867433484373184,78.0,80.42634964635916,0.9784125181630041,0.9849005552263791,0.006488037063374989,0.0,5.0,1174.7834579848102,1.440844350835369,1.4313527818630827,-0.009491568972286313,452.10904221667346,0.5545011338148295,0.5508483549745868,-0.003652778840242621,1226.2009250364208,22.4605913,113.9993443
天马苑,6034.0,3104.0,25170.0,0.20185614849187936,0.07010275107722903,284.0,150.79432124573,0.9133964319643275,0.9282515630883774,0.0148551311240499,4.0,52.0,1039.2475553081533,1.365340418166303,1.3434904027746297,-0.021850015391673194,769.8461811799693,1.0114068602493103,0.9952209661164967,-0.016185894132813572,1133.7388719844453,22.3433062,114.1863681
太古城,34799.0,17341.0,59140.0,0.2248340469553723,0.11256070576740711,185.0,167.10144542340194,0.9388149536900581,0.9533775299559615,0.014562576265903524,1.0,34.0,639.4414618328832,0.8173386578296743,0.8048540374503104,-0.012484620379363931,254.7555917627875,0.3256304226021857,0.320656508581093,-0.004973914021092707,649.5853943687608,22.2875849,114.2152074
太和邨,18439.0,8746.0,21500.0,0.24149899669179456,0.07261782092304354,91.0,84.06106337703675,0.9642798947135911,0.9651073733232763,0.0008274786096853755,2.0,15.0,271.9926619774554,0.3384817999030153,0.33819158716925174,-0.0002902127337635618,1520.9147508365656,1.8927053348405303,1.891082538017805,-0.0016227968227253697,1152.1491307936267,22.4515303,114.1619752
太安楼,4561.0,2255.0,18980.0,0.2641964481473361,0.10041657531243148,168.0,144.1291502178501,0.9369854191178121,0.9527957771635471,0.015810358045735034,2.0,27.0,300.8290571935274,0.3852726640849073,0.37887958499029767,-0.006393079094609622,895.5967018656777,1.1469933472931488,1.1279605430643491,-0.019032804228799716,230.1400990812316,22.2827772,114.2219779
太平邨,3988.0,1876.0,22210.0,0.20737211634904715,0.0667001003009027,74.0,78.2911984892603,0.9529184197460849,0.9627946373803422,0.00987621763425719,1.0,7.0,1241.7802063773074,1.5637605662506044,1.547719721110272,-0.016040845140332438,136.33791402210034,0.17168888063903184,0.16992771923997504,-0.0017611613990567987,1086.2418496227535,22.4978985,114.126368
太湖花园,5982.0,3383.0,52040.0,0.09177532597793381,0.15864259445001672,91.0,84.06106337703675,0.9642798947135911,0.9651073733232763,0.0008274786096853755,2.0,15.0,448.1632107456486,0.5577175837047951,0.5572393992213713,-0.0004781844834237381,1472.695619273509,1.832698942305659,1.8311275946870738,-0.0015713476185852393,1234.045527612498,22.453936,114.1612931
好运中心,3401.0,1682.0,34320.0,0.16465745369009116,0.12937371361364305,162.0,117.65594891484574,0.9412549893319889,0.9487281481395591,0.0074731588075702595,5.0,20.0,1270.6788741045532,1.61998041572946,1.60721978357615,-0.012760632153310025,1246.2061707887108,1.5887803219059438,1.5762654537856833,-0.01251486812026048,463.4527946820952,22.383149,114.1907065
宁峰苑,4090.0,2150.0,32090.0,0.19070904645476772,0.09144254278728606,137.0,140.166797832289,0.9597786302971477,0.971048794293451,0.01127016399630325,0.0,27.0,294.66970006925726,0.36842208080172917,0.3641461089917688,-0.004275971809960366,1931.7934224857365,2.4152987301511217,2.387266346043511,-0.028032384107610664,348.04892596884673,22.3724181,114.1380341
宇晴轩,5604.0,3035.0,55540.0,0.06370449678800856,0.20021413276231265,222.0,200.74401336888985,0.9480534963681263,0.9584588563751585,0.010405360007032195,0.0,36.0,544.1590235749061,0.6887700227797409,0.6812924977911569,-0.007477524988584006,857.0619694545918,1.0848273512892108,1.0730500913050631,-0.011777259984147692,367.2324829055981,22.334584,114.1498415
安和园,2781.0,1318.0,23040.0,0.25278676734987415,0.0870190578928443,414.0,215.49539596877347,0.88721477038612,0.9106908309452165,0.023476060559096453,5.0,97.0,938.8659160635561,1.2698606209925347,1.237125774184984,-0.03273484680755079,1057.763793256591,1.4306756315108424,1.3937952472745014,-0.03688038423634099,1041.097137317062,22.3166891,114.1914357
